콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
변산해수욕장,전북특별자치도 부안군 변산면 변산로 2076,http://tong.visitkorea.or.kr/cms/resource/62/3429862_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/3429862_image3_1.jpg,126287,12,0,(변산면),A01,A0101,A01011200,Type1,126.5309702046,35.6805522951,6,20030930090000,20241226134537,,37,6
원평해수욕장,전라남도 신안군 비금면 원평해수욕장길 64,http://tong.visitkorea.or.kr/cms/resource/79/3070679_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/3070679_image3_1.jpg,2723745,12,0,,A01,A0101,A01011200,Type3,125.9133722013,34.7754919212,6,20210629223624,20241211142242,,38,12
사천해변(사천해수욕장),강원특별자치도 강릉시 사천면 사천진리 산 282-1,http://tong.visitkorea.or.kr/cms/resource/21/2922021_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2922021_image3_1.jpg,125696,12,0,,A01,A0101,A01011200,Type3,128.8777243727,37.8291482395,6,20040227090000,20241209153613,,32,1
애견전용해수욕장 멍비치,강원특별자치도 양양군 현남면 광진리 78-20,http://tong.visitkorea.or.kr/cms/resource/79/2603579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2603579_image2_1.jpg,2388953,12,0,,A01,A0101,A01011200,Type3,128.7706162139,37.9560592213,6,20160621183057,20241209140602,,32,7
춘장대해수욕장,충청남도 서천군 서면 춘장대길 20,http://tong.visitkorea.or.kr/cms/resource/89/3043689_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/3043689_image3_1.jpg,126742,12,0,,A01,A0101,A01011200,Type3,126.5243389992,36.1632331925,6,20031205090000,20241206103937,,34,8
명사해수욕장,경상남도 거제시 남부면 명사해수욕장길,http://tong.visitkorea.or.kr/cms/resource/33/3077233_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3077233_image3_1.jpg,126577,12,0,,A01,A0101,A01011200,Type3,128.6047816783,34.7272513743,6,20040119090000,20241205144052,,36,1
통개 해수욕장,충청남도 태안군 소원면 파도리,http://tong.visitkorea.or.kr/cms/resource/50/3034350_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/3034350_image3_1.jpg,3034356,12,,,A01,A0101,A01011200,Type3,126.1417894029,36.7263175155,6,20231108150028,20241128174054,,34,14
소돌해수욕장,강원특별자치도 강릉시 주문진읍 해안로 1993,http://tong.visitkorea.or.kr/cms/resource/23/2921823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2921823_image3_1.jpg,2775500,12,0,,A01,A0101,A01011200,Type3,128.8272654209,37.9062383246,6,20211118000226,20241127152818,,32,1
물건해수욕장,경상남도 남해군 삼동면 물건리,http://tong.visitkorea.or.kr/cms/resource/48/3026148_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/48/3026148_image3_1.JPG,3026168,12,,,A01,A0101,A01011200,Type3,128.0506197743,34.7973364796,6,20230925144411,20241127103929,,36,5
진하해수욕장,울산광역시 울주군 서생면 진하리,http://tong.visitkorea.or.kr/cms/resource/33/3060633_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3060633_image3_1.jpg,126096,12,0,,A01,A0101,A01011200,Type1,129.3451995038,35.3827277372,6,20030707090000,20241121174425,,7,5
표선해수욕장 야영장,제주특별자치도 서귀포시 표선면 민속해안로 620,http://tong.visitkorea.or.kr/cms/resource/07/3031507_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/3031507_image3_1.jpg,3031517,28,,,A03,A0302,A03021700,Type3,126.8393858179,33.3256407585,6,20231103150244,20241118164542,,39,3
방아머리해수욕장,경기도 안산시 단원구 대부황금로 1531,http://tong.visitkorea.or.kr/cms/resource/16/2786416_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2786416_image2_1.jpg,2783069,12,0,(대부북동),A01,A0101,A01011200,Type3,126.5778985598,37.2899181516,6,20211130004142,20241106142920,,31,15
삼정해수욕장,경상북도 포항시 남구 구룡포읍 일출로62번길,http://tong.visitkorea.or.kr/cms/resource/91/2534191_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2534191_image2_1.jpg,129160,12,0,,A01,A0101,A01011200,Type3,129.5692289093,36.0030177214,6,20060720090000,20241105171747,,35,23
영리해수욕장,경상북도 영덕군 병곡면 고래불로 330,http://tong.visitkorea.or.kr/cms/resource/24/3401824_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/3401824_image3_1.jpg,2756138,12,0,,A01,A0101,A01011200,Type3,129.4091839521,36.5929893951,6,20211013191528,20241105113737,,35,12
