제목,검색키워드,이미지URL,촬영장소,촬영월,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/50/3364150.jpg,제주특별자치도 제주시 구좌읍,,3364150,17,20240910163559,20240910164222,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/54/3364154.jpg,제주특별자치도 제주시 구좌읍,,3364154,17,20240910163815,20240910164205,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 바닷가, 물놀이, 파라솔, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/55/3364155.jpg,제주특별자치도 제주시 구좌읍,,3364155,17,20240910163843,20240910164153,이정수
세기알해변,"세기알해변, 제주특별자치도 제주시, 제주도, 세기알해수욕장, 바다, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/61/3364161.jpg,제주특별자치도 제주시 구좌읍,,3364161,17,20240910164106,20240910164121,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 물놀이, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/68/3364068.jpg,제주특별자치도 제주시 구좌읍,,3364068,17,20240910161252,20240910161424,이정수
김녕성세기해변,"김녕성세기해변, 제주특별자치도 제주시, 제주도, 김녕성세기해수욕장, 김녕해변, 김녕해수욕장, 바다, 물놀이, 풍력발전기, 7월 추천여행지, 사진기자단, 프레임코리아2기",http://tong.visitkorea.or.kr/cms2/website/67/3364067.jpg,제주특별자치도 제주시 구좌읍,,3364067,17,20240910160846,20240910161405,이정수
흥겨운농악놀이,"2022 대한민국 관광공모전(스마트폰), 흥겨운 농악놀이, 전라북도 남원시, 명승 제33호, 광한루원, 정원, 오작교, 사물놀이, 풍물놀이",http://tong.visitkorea.or.kr/cms2/website/03/2925703.jpg,전라북도 남원시 천거동,,2925703,17,20221130150259,20230102102725,노명희
한국민속촌,"한국민속촌 야경, 경기도 용인시, 전통문화 테마파크, 민속전시장, 사물놀이, 풍물놀이, 농악, 공연",http://tong.visitkorea.or.kr/cms2/website/36/2705336.jpg,경기도 용인시 기흥구,,2705336,17,20210203162941,20210203163029,라이브스튜디오
한국민속촌,"한국민속촌 야경, 경기도 용인시, 전통문화 테마파크, 민속전시장, 사물놀이, 풍물놀이, 농악, 공연",http://tong.visitkorea.or.kr/cms2/website/35/2705335.jpg,경기도 용인시 기흥구,,2705335,17,20210203162915,20210203162929,라이브스튜디오
한국민속촌,"한국민속촌 야경, 경기도 용인시, 전통문화 테마파크, 민속전시장, 사물놀이, 풍물놀이, 농악, 공연",http://tong.visitkorea.or.kr/cms2/website/34/2705334.jpg,경기도 용인시 기흥구,,2705334,17,20210203162723,20210203162903,라이브스튜디오
동호해수욕장,"동호해수욕장, 강원도 양양군, 동호해변, 바닷가, 동해바다, 해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/17/2562617.jpg,강원도 양양군 손양면,,2562617,17,20181012105723,20181012105736,한국관광공사 김지호
동호해수욕장,"동호해수욕장, 강원도 양양군, 동호해변, 바닷가, 동해바다, 해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/16/2562616.jpg,강원도 양양군 손양면,,2562616,17,20181012105619,20181012105709,한국관광공사 김지호
낙산해수욕장,"낙산해수욕장, 강원도 양양군, 낙산해변, 바닷가, 동해바다, 해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/15/2562615.jpg,강원도 양양군 강현면,,2562615,17,20181012105551,20181012105605,한국관광공사 김지호
낙산해수욕장,"낙산해수욕장, 강원도 양양군, 낙산해변, 바닷가, 동해바다, 해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/14/2562614.jpg,강원도 양양군 강현면,,2562614,17,20181012105529,20181012105542,한국관광공사 김지호
낙산해수욕장,"낙산해수욕장, 강원도 양양군, 낙산해변, 바닷가, 동해바다, 해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/13/2562613.jpg,강원도 양양군 강현면,,2562613,17,20181012105505,20181012105516,한국관광공사 김지호
낙산해수욕장,"낙산해수욕장, 강원도 양양군, 낙산해변, 바닷가, 동해바다, 해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/12/2562612.jpg,강원도 양양군 강현면,,2562612,17,20181012105336,20181012105449,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/13/2561113.jpg,전라남도 장흥군 장흥읍,,2561113,17,20180920162313,20180920162324,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/11/2561111.jpg,전라남도 장흥군 장흥읍,,2561111,17,20180920162233,20180920162253,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/08/2561108.jpg,전라남도 장흥군 장흥읍,,2561108,17,20180920162120,20180920162137,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/00/2561100.jpg,전라남도 장흥군 장흥읍,,2561100,17,20180920161911,20180920161928,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이, 카누",http://tong.visitkorea.or.kr/cms2/website/98/2561098.jpg,전라남도 장흥군 장흥읍,,2561098,17,20180920161711,20180920161728,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이, 바나나보트",http://tong.visitkorea.or.kr/cms2/website/85/2561085.jpg,전라남도 장흥군 장흥읍,,2561085,17,20180920160929,20180920161000,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이, 카누",http://tong.visitkorea.or.kr/cms2/website/84/2561084.jpg,전라남도 장흥군 장흥읍,,2561084,17,20180920160323,20180920160336,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이, 카누",http://tong.visitkorea.or.kr/cms2/website/83/2561083.jpg,전라남도 장흥군 장흥읍,,2561083,17,20180920155815,20180920155832,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/82/2561082.jpg,전라남도 장흥군 장흥읍,,2561082,17,20180920155605,20180920155624,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/76/2561076.jpg,전라남도 장흥군 장흥읍,,2561076,17,20180920155127,20180920155225,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이, 카누",http://tong.visitkorea.or.kr/cms2/website/72/2561072.jpg,전라남도 장흥군 장흥읍,,2561072,17,20180920154744,20180920154803,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/67/2561067.jpg,전라남도 장흥군 장흥읍,,2561067,17,20180920153411,20180920154214,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이, 카누",http://tong.visitkorea.or.kr/cms2/website/51/2561051.jpg,전라남도 장흥군 장흥읍,,2561051,17,20180920152749,20180920152806,한국관광공사 김지호
2018 정남진장흥물축제,"2018 정남진장흥물축제, 전라남도 장흥군, 탐진강, 여름, 물놀이, 카누",http://tong.visitkorea.or.kr/cms2/website/50/2561050.jpg,전라남도 장흥군 장흥읍,,2561050,17,20180920152202,20180920152716,한국관광공사 김지호
해운대해수욕장,"해운대해수욕장, 부산광역시 해운대구, 2018 상반기 기획사진, 해운대해변, 바다, 백사장, 부산전경, 해운대 마천루, 해운대 마린시티, 여름, 물놀이, 파라솔, 드론촬영, 드론사진, 항공촬영",http://tong.visitkorea.or.kr/cms2/website/76/2570376.jpg,부산광역시 해운대구 우동,,2570376,17,20181128002130,20240517155105,라이브스튜디오
해운대해수욕장,"해운대해수욕장, 부산광역시 해운대구, 2018 상반기 기획사진, 해운대해변, 바다, 백사장, 부산전경, 해운대 마천루, 해운대 마린시티, 여름, 물놀이, 파라솔, 드론촬영, 드론사진, 항공촬영",http://tong.visitkorea.or.kr/cms2/website/77/2570377.jpg,부산광역시 해운대구 우동,,2570377,17,20181128002234,20240517155044,라이브스튜디오
풍물놀이,"2018 제46회 대한민국 관광사진 공모전, 금상, 풍물놀이, 전라남도 목포시, 농악, 시민문화체육센터",http://tong.visitkorea.or.kr/cms2/website/38/2563738.jpg,전라남도 목포시 옥암동,,2563738,17,20181023001036,20240701164024,오정연
흥,"2018 제46회 대한민국 관광사진 공모전, 입선, 흥, 경상북도 경산시, 경산 자인단오제, 자인면 계정숲, 풍물놀이, 사물놀이",http://tong.visitkorea.or.kr/cms2/website/61/2563761.jpg,경상북도 경산시 자인면,,2563761,17,20181023004058,20240607154528,김재현
무릉계곡,"무릉계곡, 강원도 동해시, 명승 제37호, 골짜기, 물놀이",http://tong.visitkorea.or.kr/cms2/website/91/2541491.jpg,강원도 동해시 삼화동,,2541491,17,20180403102906,20180425172145,IR 스튜디오
무릉계곡,"무릉계곡, 강원도 동해시, 명승 제37호, 골짜기, 물놀이",http://tong.visitkorea.or.kr/cms2/website/80/2541480.jpg,강원도 동해시 삼화동,,2541480,17,20180403101712,20180425172018,IR 스튜디오
