제목,이미지URL,촬영장소,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/29/2562929.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562929,17,20181015105038,20181015105104,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/26/2562926.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562926,17,20181015104910,20181015105016,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/24/2562924.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562924,17,20181015104813,20181015104824,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/23/2562923.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562923,17,20181015104753,20181015104804,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/22/2562922.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562922,17,20181015104732,20181015104743,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/21/2562921.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562921,17,20181015104711,20181015104723,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/20/2562920.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562920,17,20181015104650,20181015104703,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/19/2562919.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562919,17,20181015104631,20181015104641,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/18/2562918.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562918,17,20181015104555,20181015104610,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/17/2562917.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562917,17,20181015104520,20181015104530,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/16/2562916.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562916,17,20181015104500,20181015104511,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/14/2562914.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562914,17,20181015104441,20181015104451,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/13/2562913.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562913,17,20181015104423,20181015104434,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/12/2562912.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562912,17,20181015104404,20181015104414,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/11/2562911.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562911,17,20181015104345,20181015104355,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/10/2562910.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562910,17,20181015104323,20181015104336,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/09/2562909.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562909,17,20181015104256,20181015104313,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/08/2562908.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562908,17,20181015104235,20181015104247,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/07/2562907.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562907,17,20181015104138,20181015104214,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/06/2562906.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562906,17,20181015104116,20181015104128,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/05/2562905.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562905,17,20181015104056,20181015104107,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/04/2562904.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562904,17,20181015104038,20181015104048,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/03/2562903.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562903,17,20181015104017,20181015104029,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/02/2562902.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562902,17,20181015103654,20181015103959,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/01/2562901.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562901,17,20181015103416,20181015103425,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/00/2562900.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562900,17,20181015103314,20181015103334,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/96/2562896.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562896,17,20181015102842,20181015102856,한국관광공사 김지호
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/95/2562895.jpg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 바닷가, 동해바다, 해변, 서핑전용해변",2562895,17,20181015102707,20181015102829,한국관광공사 김지호
윈드서핑,http://tong.visitkorea.or.kr/cms2/website/75/1415175.jpg,서울 뚝섬 한강공원,"2011 제39회 관광사진 공모전, 입선, 윈드서핑, 레포츠, 잠실올림픽주경기장, 한강",1415175,17,20111027220546,20240613165106,한국관광공사 강석화 
부산 송정해수욕장,http://tong.visitkorea.or.kr/cms2/website/77/1074577.jpg,부산광역시 해운대구 ,"부산 송정해수욕장, 바다, 윈드서핑",1074577,17,20100816141113,20150825142430,한국관광공사 김지호
부산 송정해수욕장,http://tong.visitkorea.or.kr/cms2/website/81/1074581.jpg,부산광역시 해운대구 ,"부산 송정해수욕장, 바다, 윈드서핑",1074581,17,20100816141413,20150825142413,한국관광공사 김지호
부산 송정해수욕장,http://tong.visitkorea.or.kr/cms2/website/83/1074583.jpg,부산광역시 해운대구 ,"부산 송정해수욕장, 바다, 윈드서핑",1074583,17,20100816141612,20150825142358,한국관광공사 김지호
부산 송정해수욕장,http://tong.visitkorea.or.kr/cms2/website/85/1074585.jpg,부산광역시 해운대구 ,"부산 송정해수욕장, 바다, 윈드서핑",1074585,17,20100816141827,20150825142344,한국관광공사 김지호
한강철교,http://tong.visitkorea.or.kr/cms2/website/54/1046154.jpg,서울,"한강철교, 한강, 윈드서핑",1046154,17,20100618151943,20150825140717,한국관광공사 이범수 
