TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
황금산몽돌해변,충청남도 서산시 대산읍 독곶리 산 230-2,http://tong.visitkorea.or.kr/cms/resource/58/3341958_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/3341958_image3_1.jpg,2736722,12,0,,A01,A0101,A01011200,Type3,126.3297458815,36.9915428552,6,20210826222238,20250318203108,,34,7
고창해변승마클럽 휘게팜,전북특별자치도 고창군 상하면 명사십리로 282-7,http://tong.visitkorea.or.kr/cms/resource/95/3112295_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/3112295_image3_1.jpg,3111215,28,,,A03,A0302,A03021100,Type3,126.4557766326,35.4702804948,6,20240321154818,20250317212806,,37,1
한섬해변&한섬감성바닷길,강원특별자치도 동해시 한섬해안길 9,http://tong.visitkorea.or.kr/cms/resource/34/3353534_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/3353534_image3_1.jpg,2710184,12,0,(천곡동),A01,A0101,A01011200,Type3,129.1217702879,37.5212108010,6,20210318233421,20250317204904,,32,3
두에기해변,충청남도 태안군 안면읍 승언리 2004-8,http://tong.visitkorea.or.kr/cms/resource/73/3343473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/3343473_image3_1.jpg,2715693,12,0,,A01,A0101,A01011200,Type3,126.3286612486,36.5191140142,6,20210510191649,20250317200045,,34,14
모래미 해변,전라남도 영광군 백수읍 구수리,http://tong.visitkorea.or.kr/cms/resource/51/3381951_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/51/3381951_image3_1.JPG,129216,12,0,,A01,A0101,A01011200,Type3,126.4149103101,36.3633472744,6,20060906090000,20250317125257,,38,16
송평해변,전라남도 해남군 화산면 평호길 450,http://tong.visitkorea.or.kr/cms/resource/70/3381370_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/3381370_image3_1.JPG,588119,12,0,,A01,A0101,A01011200,Type3,126.4715782045,34.4348642374,6,20080717221906,20250317111313,,38,23
금갑해변,전라남도 진도군 의신면 금갑길 206-6,http://tong.visitkorea.or.kr/cms/resource/23/3381323_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/3381323_image3_1.JPG,126274,12,0,,A01,A0101,A01011200,Type3,126.2773517639,34.3957932468,6,20031107090000,20250317111254,,38,21
율포해수욕장(솔밭해변),전라남도 보성군 회천면 우암길 24,http://tong.visitkorea.or.kr/cms/resource/29/3370529_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/3370529_image3_1.JPG,2022601,12,0,,A01,A0101,A01011200,Type3,127.0881211428,34.6696814499,6,20150805192206,20250316213434,,38,10
하평해변(동해),강원특별자치도 동해시 평릉동 40-1,http://tong.visitkorea.or.kr/cms/resource/20/3339020_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/3339020_image3_1.jpg,2716757,12,0,,A01,A0101,A01011200,Type3,129.1164092756,37.5335842697,6,20210513010418,20250316211648,,32,3
청간해변,강원특별자치도 고성군 토성면 청간리,http://tong.visitkorea.or.kr/cms/resource/52/2023652_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2023652_image3_1.jpg,126789,12,0,(토성면),A01,A0101,A01011200,Type3,128.5590701848,38.2656163398,6,20030710090000,20250316201118,,32,2
